id_poliza,id_cliente,tipo_seguro,numero_poliza,fecha_inicio,fecha_vencimiento,prima_anual,suma_asegurada,estado,forma_pago,canal_venta,agente
P001,C001,Automóvil,HDI-AUTO-2023-001,2023-01-15,2024-01-15,1850000,45000000,Activa,Anual,Digital,AGT-012
P002,C001,Hogar,HDI-HOG-2023-001,2023-03-01,2024-03-01,420000,120000000,Activa,Semestral,Agente,AGT-012
P003,C002,Vida,HDI-VID-2022-004,2022-06-10,2027-06-10,980000,200000000,Activa,Mensual,Agente,AGT-005
P004,C003,Automóvil,HDI-AUTO-2020-012,2020-04-22,2021-04-22,1620000,32000000,Vencida,Anual,Digital,AGT-018
P005,C003,Salud,HDI-SAL-2022-008,2022-05-01,2023-05-01,2400000,50000000,Vencida,Mensual,Call Center,AGT-022
P006,C004,Automóvil,HDI-AUTO-2023-022,2023-09-01,2024-09-01,2100000,55000000,Activa,Anual,Agente,AGT-005
P007,C004,Vida,HDI-VID-2019-003,2019-09-01,2029-09-01,1500000,500000000,Activa,Anual,Agente,AGT-005
P008,C005,SOAT,HDI-SOAT-2023-031,2023-03-28,2024-03-28,650000,0,Activa,Anual,Digital,AGT-030
P009,C006,Automóvil,HDI-AUTO-2022-044,2022-07-11,2023-07-11,1450000,28000000,Vencida,Semestral,Digital,AGT-015
P010,C007,Hogar,HDI-HOG-2023-007,2023-04-05,2024-04-05,510000,150000000,Activa,Semestral,Agente,AGT-009
P011,C008,Vida,HDI-VID-2020-011,2020-11-20,2030-11-20,2200000,800000000,Activa,Anual,Agente,AGT-007
P012,C008,Automóvil,HDI-AUTO-2023-055,2023-10-01,2024-10-01,1750000,40000000,Activa,Anual,Agente,AGT-007
P013,C009,SOAT,HDI-SOAT-2023-062,2023-02-09,2024-02-09,650000,0,Activa,Anual,Digital,AGT-030
P014,C010,Automóvil,HDI-AUTO-2023-071,2023-05-30,2024-05-30,2500000,70000000,Activa,Anual,Agente,AGT-003
P015,C010,Hogar,HDI-HOG-2022-015,2022-05-30,2023-05-30,680000,200000000,Vencida,Anual,Agente,AGT-003
P016,C010,Vida,HDI-VID-2018-002,2018-06-01,2038-06-01,3100000,1000000000,Activa,Anual,Agente,AGT-003
P017,C011,SOAT,HDI-SOAT-2022-088,2022-10-15,2023-10-15,650000,0,Vencida,Anual,Digital,AGT-030
P018,C012,Automóvil,HDI-AUTO-2021-090,2021-08-12,2022-08-12,1900000,50000000,Vencida,Anual,Agente,AGT-007
P019,C012,Vida,HDI-VID-2017-001,2017-08-12,2037-08-12,4000000,1500000000,Activa,Anual,Agente,AGT-007
P020,C013,Salud,HDI-SAL-2023-010,2023-09-03,2024-09-03,2100000,50000000,Activa,Mensual,Call Center,AGT-022
P021,C014,SOAT,HDI-SOAT-2023-105,2023-05-17,2024-05-17,650000,0,Activa,Anual,Digital,AGT-030
P022,C015,Automóvil,HDI-AUTO-2022-111,2022-03-25,2023-03-25,1580000,35000000,Vencida,Semestral,Agente,AGT-011
P023,C015,Hogar,HDI-HOG-2023-020,2023-04-01,2024-04-01,450000,100000000,Activa,Semestral,Agente,AGT-011
